Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2011-01-21,Bronx,Yellow Taxi,676,2011,1,21,Winter,Fri,1
2011-01-21,EWR,Yellow Taxi,4,2011,1,21,Winter,Fri,1
2011-01-21,Queens,Yellow Taxi,18611,2011,1,21,Winter,Fri,1
2011-01-21,Brooklyn,Yellow Taxi,9229,2011,1,21,Winter,Fri,1
2011-01-21,Manhattan,Yellow Taxi,458943,2011,1,21,Winter,Fri,1
2011-01-22,Staten Island,Yellow Taxi,58,2011,1,22,Winter,Sat,0
2011-01-22,Queens,Yellow Taxi,15879,2011,1,22,Winter,Sat,0
2011-01-22,Manhattan,Yellow Taxi,493527,2011,1,22,Winter,Sat,0
2011-01-22,Bronx,Yellow Taxi,644,2011,1,22,Winter,Sat,0
2011-01-22,Brooklyn,Yellow Taxi,13508,2011,1,22,Winter,Sat,0
2011-01-22,EWR,Yellow Taxi,6,2011,1,22,Winter,Sat,0
2011-01-23,Brooklyn,Yellow Taxi,11993,2011,1,23,Winter,Sun,0
2011-01-23,Staten Island,Yellow Taxi,31,2011,1,23,Winter,Sun,0
2011-01-23,EWR,Yellow Taxi,3,2011,1,23,Winter,Sun,0
2011-01-23,Manhattan,Yellow Taxi,421069,2011,1,23,Winter,Sun,0
2011-01-23,Queens,Yellow Taxi,20234,2011,1,23,Winter,Sun,0
2011-01-23,Bronx,Yellow Taxi,532,2011,1,23,Winter,Sun,0
2011-01-24,Bronx,Yellow Taxi,440,2011,1,24,Winter,Mon,1
2011-01-24,Queens,Yellow Taxi,20629,2011,1,24,Winter,Mon,1
2011-01-24,EWR,Yellow Taxi,3,2011,1,24,Winter,Mon,1
2011-01-24,Staten Island,Yellow Taxi,12,2011,1,24,Winter,Mon,1
2011-01-24,Manhattan,Yellow Taxi,401810,2011,1,24,Winter,Mon,1
2011-01-24,Brooklyn,Yellow Taxi,5795,2011,1,24,Winter,Mon,1
2011-01-25,Brooklyn,Yellow Taxi,6045,2011,1,25,Winter,Tue,1
2011-01-25,EWR,Yellow Taxi,2,2011,1,25,Winter,Tue,1
2011-01-25,Queens,Yellow Taxi,17649,2011,1,25,Winter,Tue,1
2011-01-25,Bronx,Yellow Taxi,487,2011,1,25,Winter,Tue,1
2011-01-25,Staten Island,Yellow Taxi,10,2011,1,25,Winter,Tue,1
2011-01-25,Manhattan,Yellow Taxi,412170,2011,1,25,Winter,Tue,1
2011-01-26,Bronx,Yellow Taxi,417,2011,1,26,Winter,Wed,1
2011-01-26,Manhattan,Yellow Taxi,376998,2011,1,26,Winter,Wed,1
2011-01-26,EWR,Yellow Taxi,1,2011,1,26,Winter,Wed,1
2011-01-26,Staten Island,Yellow Taxi,38,2011,1,26,Winter,Wed,1
2011-01-26,Queens,Yellow Taxi,13527,2011,1,26,Winter,Wed,1
2011-01-26,Brooklyn,Yellow Taxi,5253,2011,1,26,Winter,Wed,1
2011-01-27,Bronx,Yellow Taxi,419,2011,1,27,Winter,Thu,1
2011-01-27,Queens,Yellow Taxi,16711,2011,1,27,Winter,Thu,1
2011-01-27,EWR,Yellow Taxi,10,2011,1,27,Winter,Thu,1
2011-01-27,Manhattan,Yellow Taxi,282071,2011,1,27,Winter,Thu,1
2011-01-27,Staten Island,Yellow Taxi,12,2011,1,27,Winter,Thu,1
2011-01-27,Brooklyn,Yellow Taxi,4788,2011,1,27,Winter,Thu,1
2011-01-28,Staten Island,Yellow Taxi,51,2011,1,28,Winter,Fri,1
2011-01-28,Manhattan,Yellow Taxi,403380,2011,1,28,Winter,Fri,1
2011-01-28,Queens,Yellow Taxi,22214,2011,1,28,Winter,Fri,1
2011-01-28,Brooklyn,Yellow Taxi,9062,2011,1,28,Winter,Fri,1
2011-01-28,EWR,Yellow Taxi,6,2011,1,28,Winter,Fri,1
2011-01-28,Bronx,Yellow Taxi,581,2011,1,28,Winter,Fri,1
2011-01-29,Brooklyn,Yellow Taxi,13700,2011,1,29,Winter,Sat,0
2011-01-29,Queens,Yellow Taxi,16386,2011,1,29,Winter,Sat,0
2011-01-29,Staten Island,Yellow Taxi,37,2011,1,29,Winter,Sat,0
2011-01-29,Manhattan,Yellow Taxi,459791,2011,1,29,Winter,Sat,0
2011-01-29,Bronx,Yellow Taxi,723,2011,1,29,Winter,Sat,0
2011-01-29,EWR,Yellow Taxi,2,2011,1,29,Winter,Sat,0
2011-01-30,Brooklyn,Yellow Taxi,11745,2011,1,30,Winter,Sun,0
2011-01-30,Staten Island,Yellow Taxi,4,2011,1,30,Winter,Sun,0
2011-01-30,Queens,Yellow Taxi,21437,2011,1,30,Winter,Sun,0
2011-01-30,Manhattan,Yellow Taxi,393413,2011,1,30,Winter,Sun,0
2011-01-30,EWR,Yellow Taxi,6,2011,1,30,Winter,Sun,0
2011-01-30,Bronx,Yellow Taxi,583,2011,1,30,Winter,Sun,0
2011-01-31,Staten Island,Yellow Taxi,30,2011,1,31,Winter,Mon,1
2011-01-31,Manhattan,Yellow Taxi,380087,2011,1,31,Winter,Mon,1
2011-01-31,EWR,Yellow Taxi,4,2011,1,31,Winter,Mon,1
2011-01-31,Queens,Yellow Taxi,21547,2011,1,31,Winter,Mon,1
2011-01-31,Brooklyn,Yellow Taxi,6344,2011,1,31,Winter,Mon,1
2011-01-31,Bronx,Yellow Taxi,492,2011,1,31,Winter,Mon,1
2011-02-01,Bronx,Yellow Taxi,480,2011,2,1,Winter,Tue,1
2011-02-01,Staten Island,Yellow Taxi,24,2011,2,1,Winter,Tue,1
2011-02-01,Brooklyn,Yellow Taxi,6783,2011,2,1,Winter,Tue,1
2011-02-01,Manhattan,Yellow Taxi,409698,2011,2,1,Winter,Tue,1
2011-02-01,Queens,Yellow Taxi,12533,2011,2,1,Winter,Tue,1
2011-02-01,EWR,Yellow Taxi,7,2011,2,1,Winter,Tue,1
2011-02-02,Bronx,Yellow Taxi,660,2011,2,2,Winter,Wed,1
2011-02-02,Manhattan,Yellow Taxi,402540,2011,2,2,Winter,Wed,1
2011-02-02,Queens,Yellow Taxi,13842,2011,2,2,Winter,Wed,1
2011-02-02,Staten Island,Yellow Taxi,12,2011,2,2,Winter,Wed,1
2011-02-02,EWR,Yellow Taxi,7,2011,2,2,Winter,Wed,1
2011-02-02,Brooklyn,Yellow Taxi,6925,2011,2,2,Winter,Wed,1
2011-02-03,EWR,Yellow Taxi,7,2011,2,3,Winter,Thu,1
2011-02-03,Brooklyn,Yellow Taxi,8104,2011,2,3,Winter,Thu,1
2011-02-03,Manhattan,Yellow Taxi,444024,2011,2,3,Winter,Thu,1
2011-02-03,Queens,Yellow Taxi,18748,2011,2,3,Winter,Thu,1
2011-02-03,Staten Island,Yellow Taxi,19,2011,2,3,Winter,Thu,1
2011-02-03,Bronx,Yellow Taxi,572,2011,2,3,Winter,Thu,1
2011-02-04,Brooklyn,Yellow Taxi,10177,2011,2,4,Winter,Fri,1
2011-02-04,Staten Island,Yellow Taxi,41,2011,2,4,Winter,Fri,1
2011-02-04,EWR,Yellow Taxi,14,2011,2,4,Winter,Fri,1
2011-02-04,Queens,Yellow Taxi,18587,2011,2,4,Winter,Fri,1
2011-02-04,Manhattan,Yellow Taxi,466138,2011,2,4,Winter,Fri,1
2011-02-04,Bronx,Yellow Taxi,679,2011,2,4,Winter,Fri,1
2011-02-05,Manhattan,Yellow Taxi,486898,2011,2,5,Winter,Sat,0
2011-02-05,EWR,Yellow Taxi,3,2011,2,5,Winter,Sat,0
2011-02-05,Brooklyn,Yellow Taxi,13854,2011,2,5,Winter,Sat,0
2011-02-05,Bronx,Yellow Taxi,723,2011,2,5,Winter,Sat,0
2011-02-05,Queens,Yellow Taxi,14574,2011,2,5,Winter,Sat,0
2011-02-05,Staten Island,Yellow Taxi,59,2011,2,5,Winter,Sat,0
2011-02-06,Manhattan,Yellow Taxi,394585,2011,2,6,Winter,Sun,0
2011-02-06,EWR,Yellow Taxi,6,2011,2,6,Winter,Sun,0
2011-02-06,Brooklyn,Yellow Taxi,13560,2011,2,6,Winter,Sun,0
2011-02-06,Queens,Yellow Taxi,20111,2011,2,6,Winter,Sun,0
2011-02-06,Staten Island,Yellow Taxi,44,2011,2,6,Winter,Sun,0
2011-02-06,Bronx,Yellow Taxi,653,2011,2,6,Winter,Sun,0
2011-02-07,Brooklyn,Yellow Taxi,6816,2011,2,7,Winter,Mon,1
2011-02-07,Queens,Yellow Taxi,21930,2011,2,7,Winter,Mon,1
2011-02-07,Manhattan,Yellow Taxi,389454,2011,2,7,Winter,Mon,1
2011-02-07,Staten Island,Yellow Taxi,55,2011,2,7,Winter,Mon,1
2011-02-07,Bronx,Yellow Taxi,503,2011,2,7,Winter,Mon,1
2011-02-07,EWR,Yellow Taxi,7,2011,2,7,Winter,Mon,1
2011-02-08,Queens,Yellow Taxi,19386,2011,2,8,Winter,Tue,1
2011-02-08,Bronx,Yellow Taxi,520,2011,2,8,Winter,Tue,1
2011-02-08,Staten Island,Yellow Taxi,46,2011,2,8,Winter,Tue,1
2011-02-08,Manhattan,Yellow Taxi,441304,2011,2,8,Winter,Tue,1
2011-02-08,Brooklyn,Yellow Taxi,7069,2011,2,8,Winter,Tue,1
2011-02-08,EWR,Yellow Taxi,2,2011,2,8,Winter,Tue,1
2011-02-09,EWR,Yellow Taxi,6,2011,2,9,Winter,Wed,1
2011-02-09,Queens,Yellow Taxi,19902,2011,2,9,Winter,Wed,1
2011-02-09,Brooklyn,Yellow Taxi,7374,2011,2,9,Winter,Wed,1
2011-02-09,Staten Island,Yellow Taxi,43,2011,2,9,Winter,Wed,1
