Date,PickupBorough,RideType,RideCount,Year,Month,Day,Season,DayOfWeek,Workday
2020-01-23,Staten Island,FHVHV Taxi,7900,2020,1,23,Winter,Thu,1
2020-01-23,Queens,FHVHV Taxi,112536,2020,1,23,Winter,Thu,1
2020-01-23,EWR,FHVHV Taxi,31,2020,1,23,Winter,Thu,1
2020-01-24,Bronx,FHVHV Taxi,90846,2020,1,24,Winter,Fri,1
2020-01-24,EWR,FHVHV Taxi,20,2020,1,24,Winter,Fri,1
2020-01-24,Brooklyn,FHVHV Taxi,189911,2020,1,24,Winter,Fri,1
2020-01-24,Staten Island,FHVHV Taxi,8940,2020,1,24,Winter,Fri,1
2020-01-24,Manhattan,FHVHV Taxi,314029,2020,1,24,Winter,Fri,1
2020-01-24,Queens,FHVHV Taxi,130860,2020,1,24,Winter,Fri,1
2020-01-25,Manhattan,FHVHV Taxi,385478,2020,1,25,Winter,Sat,0
2020-01-25,Staten Island,FHVHV Taxi,8872,2020,1,25,Winter,Sat,0
2020-01-25,EWR,FHVHV Taxi,19,2020,1,25,Winter,Sat,0
2020-01-25,Brooklyn,FHVHV Taxi,235962,2020,1,25,Winter,Sat,0
2020-01-25,Bronx,FHVHV Taxi,90926,2020,1,25,Winter,Sat,0
2020-01-25,Queens,FHVHV Taxi,142435,2020,1,25,Winter,Sat,0
2020-01-26,Staten Island,FHVHV Taxi,6676,2020,1,26,Winter,Sun,0
2020-01-26,Queens,FHVHV Taxi,125835,2020,1,26,Winter,Sun,0
2020-01-26,Brooklyn,FHVHV Taxi,193209,2020,1,26,Winter,Sun,0
2020-01-26,EWR,FHVHV Taxi,44,2020,1,26,Winter,Sun,0
2020-01-26,Manhattan,FHVHV Taxi,282043,2020,1,26,Winter,Sun,0
2020-01-26,Bronx,FHVHV Taxi,76976,2020,1,26,Winter,Sun,0
2020-01-27,Staten Island,FHVHV Taxi,7152,2020,1,27,Winter,Mon,1
2020-01-27,Brooklyn,FHVHV Taxi,146611,2020,1,27,Winter,Mon,1
2020-01-27,Queens,FHVHV Taxi,110724,2020,1,27,Winter,Mon,1
2020-01-27,Manhattan,FHVHV Taxi,236564,2020,1,27,Winter,Mon,1
2020-01-27,EWR,FHVHV Taxi,27,2020,1,27,Winter,Mon,1
2020-01-27,Bronx,FHVHV Taxi,73084,2020,1,27,Winter,Mon,1
2020-01-28,Brooklyn,FHVHV Taxi,149755,2020,1,28,Winter,Tue,1
2020-01-28,Manhattan,FHVHV Taxi,255901,2020,1,28,Winter,Tue,1
2020-01-28,EWR,FHVHV Taxi,19,2020,1,28,Winter,Tue,1
2020-01-28,Queens,FHVHV Taxi,105224,2020,1,28,Winter,Tue,1
2020-01-28,Bronx,FHVHV Taxi,72571,2020,1,28,Winter,Tue,1
2020-01-28,Staten Island,FHVHV Taxi,7075,2020,1,28,Winter,Tue,1
2020-01-29,Queens,FHVHV Taxi,107480,2020,1,29,Winter,Wed,1
2020-01-29,Bronx,FHVHV Taxi,74291,2020,1,29,Winter,Wed,1
